в то время;а вахтунда
молодцеватый парень;абужегьил гада
молодец;абужегьил
крепкий и статный молодой человек;абужегьил
молодцеватый;абужегьил
молодцеватость;абужегьилвал
молодцевато;абужегьилвилелди
святая вода из родника в каабе;абуземзем
живительная;абукевсер
животворная вода;абукевсер
райская вода;абукевсер
абукевсер;абукевсер
весенний благодатный дождь;абулейсан
абоненты;абуначияр
абонент;абуначи
абонент;абуначи
статус абонента;абуначивал
абонентвал;абуначивал
благое;абур алай кар
доброе дело;абур алай кар
становиться благовидным;абур атун
хорошеть;абур атун
прихорашивать;абур гъун
украшать;абур гъун
пренебрегать приличиями;абур маса гун
терять достоинство;абур маса гун
соблюдать приличие;абур хуьн
вести себя достойно;абур хуьн
позориться;абурдай аватун
срамиться;абурдай аватун
срамить;абурдай вегьин
позорить;абурдай вегьин
чтоб опозорился ты!;абурдал ви кици кьацуррай!
чтоб на твоё достоинство собака нагадила;абурдал ви кици кьацуррай!
красивая девушка;абурар алай руш
красавица;абурар алай руш
они;абур
их;абур
те;абур
достоинство;абур
благопристойность;абур
такабурвал;абур
красота;абур
привлекательность;абур
акунар;абур
жамал;абур
мешреб;абур
приятная внешность;абурлу суй
красивая девушка;абурлу руш
симпатичный;абурлу
привлекательный;абурлу
привлекательность;абурлувал
миловидность;абурлувал
симпатичность;абурлувал
с достоинством;абурлувилелди
достойно;абурлувилелди
прилично;абурлувилелди
такабурлувилелди;абурлувилелди
красиво;абурлувилелди
симпатично;абурлувилелди
привлекательно;абурлувилелди
из-за красоты;абурлувиляй
становиться безобразным;абурсуз хьун
неприглядным;абурсуз хьун
безобразный;абурсуз
уродливый;абурсуз
неприглядный;абурсуз
безобразно;абурсуз
уродливо;абурсуз
неприглядно;абурсуз
мешребсуз;абурсуз
невзрачность;абурсузвал
уродливость;абурсузвал
кубутвал;абурсузвал
мешребсузвал;абурсузвал
тифрикьвал;абурсузвал
некрасиво;абурсузвилелди
неприглядно;абурсузвилелди
уродливо;абурсузвилелди
кубутвилелди;абурсузвилелди
мешребсузвилелди;абурсузвилелди
тифрикьвилелди;абурсузвилелди
из-за уродства;абурсузвиляй
из-за безобразия;абурсузвиляй
безобразное, неприглядное кто-что-л.;абурсузди
их;абурун
ихний;абурун
принадлежащий им;абурун
кайла (ручной горный инструмент для откалывания некрепких пород от массива);абушук
выть (о звере);ав ягъун
собака воет;кици ав ягъзава
плакать в голос;ав ягъун
ребёнок громко плачет;аялди ав ягъзава
в голос;ав ацалтна
навзрыд;ав ацалтна
плакать в голос;ав ацалдна шехьун
вой волка внезапно затих;жанавурдин ав садлагьана акъваз хьана
вой (зверя);ав
редко громкий плач;ав
да;ав
мальчик находится на улице;гада куьчеда ава
что у тебя есть?;вахъ вуч ава?
в мире существует опасность новой войны;дуьньяда цийи дяведин хаталувал ава
он обладает поэтическим даром;адахъ шаирвилин бажарагъ ава
вспом. гл.;ава
есть;ава
имеется;ава
находится;ава
существует;ава
обладает;ава
разморозил рыбу в воде;балугъ це авагъарна
оттаивать;авагъарун
размораживать;авагъарун
приводить в себя;авагъарун
выводить из обморочного состояния;авагъарун
забытья;авагъарун
мясо разморозилось;як авагъна
он постепенно приходит в себя;ам къвез-къвез авагъзава
оттаивать;авагъун
размораживаться;авагъун
приходить в себя;авагъун
встряхнуться;авагъун
оживиться;авагъун
нитки основы ковра;авагъунар
карушар;авагъунар
богатое село узнаётся по дыму (из очагов);авадан хуьр гумадилай чир жеда
делать плодородной (землю);авадан авун
благоустраивать;авадан авун
создавать необходимые условия;авадан авун
удобства;авадан авун
становиться плодородным;авадан хьун
урожайным;авадан хьун
благоустраиваться;авадан хьун
пусть будут, дорогое дитя, благополучными и твой родной дом, и дом, куда уходишь (пожелание матери своей дочери перед уходом в дом жениха);авадан хьуй
пусть будут, дорогое дитя, благополучными и твой родной дом, и дом, куда уходишь (пожелание матери своей дочери перед уходом в дом жениха);азиз бала
пусть будут, дорогое дитя, благополучными и твой родной дом, и дом, куда уходишь (пожелание матери своей дочери перед уходом в дом жениха);вун хайи квал
пусть будут, дорогое дитя, благополучными и твой родной дом, и дом, куда уходишь (пожелание матери своей дочери перед уходом в дом жениха);вун физвай квал!
плодородные нивы;авадан никер
урожайный;авадан багъ
плодородный сад;авадан багъ
в урожайные годы;авадан йисара
благоприятные для проживания места;авадан ерияр
дом;авадан
здание;авадан
строение;авадан
плодородный;авадан
урожайный;авадан
благоустроенный;авадан
удобный для проживания;авадан
благоустраивать;аваданарун
приводить в порядок;аваданарун
аваданламишун;аваданарун
благополучие родины;ватандин аваданвал
плодородие;аваданвал
высокая урожайность;аваданвал
благоустроенность;аваданвал
благосостояние;аваданвал
благоустраивать;аваданламишун
делать удобным для жизни;аваданламишун
в достатке;аваданлувилелди
зажиточно;аваданлувилелди
домашняя обстановка;квалин аваданлух
оборудование корабля;гимидин аваданлух
такелаж;гимидин аваданлух
одни ютятся в хижинах;садбур къазмайра яшамиш жезва
одни ютятся в хижинах;масабуру аваданлухар хкажзава
другие строят дворцы;садбур къазмайра яшамиш жезва
другие строят дворцы;масабуру аваданлухар хкажзава
мебель;аваданлух
убранство помещения к вартиры;аваданлух
оборудование;аваданлух
инвентарь;аваданлух
здание;аваданлух
строение;аваданлух
вкатывать;къенез авадарун
подкатывать;каник авадарун
накатывать;винел авадарун
скатывать;агъуз авадарун
перекатывать;санай масаниз авадарун
откатывать;кьулухъ (къерехдихъ) авадарун
опускать руки;гъилер авадарун
спускать флаг;пайдах авадарун
приспусти занавеску;перде жизви авадара
яблоня осыпала листья;ичин тарци пешер авадарна
пускать слезу;нагъв авадарун
спустили воду из пруда;виряй яд авадарна
катить;авадарун
спускать;авадарун
опускать;авадарун
приспускать;авадарун
осыпать;авадарун
пускать;авадарун
выпускать;авадарун
спускать;авадарун
вскрывать (нарыв);авадарун
вычищать кишки;ратар аважун
вычищать;аважун
иметься;аваз хьун
быть в наличии;аваз хьун
находиться;аваз хьун
народная мелодия;халкьдин аваз
напев;аваз
мелодия;аваз
мотив;аваз
пустой разговор;аваз
имея в кармане деньги;жибинда пул аваз-аваз
имея в кармане деньги;бурж вуганач
не дал в долг;жибинда пул аваз-аваз
не дал в долг;бурж вуганач
он;ада
он;квале аваз-аваз
он;заз рак ачухнач
находясь дома;ада
находясь дома;квале аваз-аваз
находясь дома;заз рак ачухнач
не открыл мне дверь;ада
не открыл мне дверь;квале аваз-аваз
не открыл мне дверь;заз рак ачухнач
имея;аваз-аваз
находясь;аваз-аваз
будучи;аваз-аваз
мелодичные голоса;авазлу сесер
мелодичный;авазлу
благозвучный;авазлу
у царя было три сына;пачагьдиз пуд хва авай
единственный;авайни авай са
ситуация;авай гьал
положение;авай гьал
реальность;авай гьал
оно так и есть;авай кар я
всё;авай кьван
что имеется;авай кьван
умный;акьул авай
всп. гл. быть, иметься;авай
имеющийся;авай
наличный;авай
существующий;авай
отобрали все;авай-авачир вири къакъудна
что есть;авай-авачир вири къакъудна
единственный ребенок;авай-авачир велед
все;авай-авачир
что есть;авай-авачир
единственный;авай-авачир
единственность;авай-авачирвал
всего-навсего;авай-авачирди
всего лишь;авай-авачирди
честно говоря;авайвал лагьайта
честно говоря;авайвал лагьайта
честно говоря;заз вун чир хьанач
я тебя не узнал;авайвал лагьайта
я тебя не узнал;заз вун чир хьанач
наличие;авайвал
достаток;авайвал
изобилие;авайвал
как есть;авайвал
правдиво;авайвал
тирвал;авайвал
из-за присутствия (кого-л.);авайвиляй
из- за наличия (чего-л.);авайвиляй
упустив то что в руке, не гоняйся за тем, что в небе (<соотв> лучше синица в руках, чем журавль в небе);гъиле авайди ахъайна
упустив то что в руке, не гоняйся за тем, что в небе (<соотв> лучше синица в руках, чем журавль в небе);цава авайдахъ галтугмир
довольствуйся тем;авайдал рази хьухь
что есть;авайдал рази хьухь
говорить правду в лицо;авайди чинал лугьун
то что имеется;авайди
зажиточный;авайди
состоятельный человек;авайди
правда;авайди
истина;авайди
керчек;авайди
всё;авайдини-авачирдини
что есть и чего нет;авайдини-авачирдини
там, где наличествует (что-л.);авайна
там, где присутствует (кто-л.);авайна
ум невежды - невспаханное поле;авамдин акьул цун тавур ник хьиз я
делать невежественным;авам авун
необразованным;авам авун
быть неграмотным;авам хьун
несведущим;авам хьун
невежественным;авам хьун
необразованным;авам хьун
простой народ;авам халкь
простонародье;авам халкь
голытьба;авам халкь
чернь;авам халкь
невежда;авам
неуч;авам
невежественный;авам
малосведущий;авам
необразованный;авам
савадсуз;авам
невежество - болезнь;авамвал дава авачир азар я
которая не лечится;авамвал дава авачир азар я
проявлять невежество;авамвал авун
необразованность;авамвал авун
неграмотность;авамвал
невежество;авамвал
необразованность;авамвал
неопытность;авамвал
невежественно;авамвилелди
савадсузвилелди;авамвилелди
по невежеству;авамвиляй
по причине отсутствия знаний;авамвиляй
образования;авамвиляй
неуч;авамди
невежда;авамди
авангардный;авангарддин
авангард;авангард
выдавать аванс;аванс гун
авансировать;аванс гун
авансом;аванс яз
вперёд;аванс яз
заранее;аванс яз
авансовый;авансдин
авансовый отчёт;авансдин отчет
аванс;аванс
убегать быстро (<букв.> убегать как аварец, увидевший верблюда);лавар акур авар хьиз катун
аварцы;аварар
аварский театр;аваррин театр
аварка;авар руш
аварский язык;авар чал
гневаться;авар барут хьун
злиться;авар барут хьун
негодовать;авар барут хьун
танцевальная мелодия;авар кавха
аварский народ;авар халкь
аварец;авар
аварский;авар
превращать в бездельника;авара авун
лодыря;авара авун
становиться бездельником;авара хьун
праздношататься;авара хьун
бездельничать;авара хьун
праздношататель;авара
бездельник;авара
праздношатающийся;авара
бездельный;авара
бездельничать;аваравал авун
слоняться без дела;аваравал авун
ленивый;аваравал квай
склонный к праздности;аваравал квай
безделье;аваравал
праздность;аваравал
праздно;аваравилелди
бездельничая;аваравилелди
найди себе приличного товарища;жуваз са аваран юлдаш жагъура
будь свершителем благородных дел;аваран крарин иеси хьухь
для коридора нужен подходящий ковёр;дегьлиздиз аваран са гам канзава
порядочный;аваран
приличный;аваран
подходящий;аваран
элитный;аваран
отборный;аваран
лучший (кто-что-л.);аваран
элита;аваранар
отборные, лучшие из лучших (кто-что-л.);аваранар
приличие;аваранвал
пристойность;аваранвал
благопристойность;аваранвал
благочиние;аваранвал
абурлувал;аваранвал
кутугайвал;аваранвал
лайихлувал;аваранвал
прилично;аварандаказ
пристойно;аварандаказ
абурлувилелди;аварандаказ
кутугайвилелди;аварандаказ
лайихлувилелди;аварандаказ
молодая буйволица;авари
устраивать аварию;авария авун
происходить - об аварии;авария хьун
попадать в аварию;авариядик акатун
катастрофа;зурба авария
аварийный;авариядин
аварийная служба;авариядин къуллугъ
авария;авария
название мелодии;авар-чавар
падать;ават хьун
цены на пшеницу упали;къуьлуьн къиметар ават хьанва
просыпаться;ахварай аватун
опозориться;виляй аватун
терять доверие;ихтибардай аватун
вызывать недоверие;ихтибардай аватун
испугаться;рик аватун
ужаснуться;рик аватун
надорваться;руфун аватун
мед. сущ. грыжа;руфун аватун
выпадать на долю;хивез аватун
падать духом;руьгьдай аватун
падать с лошади;балкандилай аватун
вваливаться;къенез аватун
вываливаться;къеняй аватун
выпадать;къеняй аватун
ниспадать;агъуз аватун
проваливаться в яму;фуруз аватун
дёргаешь за верёвочку - занавес опускается;еб ялайла
дёргаешь за верёвочку - занавес опускается;къир аватзава
падать в цене;къиметдай аватун
обесцениваться;къиметдай аватун
дешеветь;къиметдай аватун
терять авторитет;къиметдай аватун
уважение;къиметдай аватун
падать вниз;агьуз аватун
понижаться (по службе);агьуз аватун
терять силу;къуватдай аватун
ослабевать;къуватдай аватун
там и о тебе заходила речь;анал вакайни ихтилат аватнавай
падать;аватун
ниспадать;аватун
валиться;аватун
выпадать;аватун
обрушиваться;аватун
грохнуться;аватун
проваливаться;аватун
спускаться;аватун
опускаться;аватун
понижаться;аватун
снижаться;аватун
падать;аватун
терять;аватун
утрачивать;аватун
заходить (о разговоре);аватун
кватун;аватун
держаться вызывающе;авата вич ава лугьуз къекъуьн
заносчиво;авата вич ава лугьуз къекъуьн
хорохориться;авата вич ава лугьуз къекъуьн
в таком случае;авата
в таком случае;зун къведач
я не приду;авата
я не приду;зун къведач
тогда;авата
в таком случае;авата
паданец;авахьай емиш
опавший;авахьай
покатившийся (вниз по поверхности);авахьай
собранные яблоки оставили на зиму;атай ичер хъуьтуьз нез туна
собранные яблоки оставили на зиму;авахьаяр туьквендиз вахкана
падалицу сдали в магазин;атай ичер хъуьтуьз нез туна
падалицу сдали в магазин;авахьаяр туьквендиз вахкана
падалица;авахьаяр
паданцы;авахьаяр
пусть вытекут глаза, видящие тебя!;вун аквадай вилер авахьрай!
дети катятся на салазках с горы;аялар алераллаз дагъдай авахьзава
рукава черкески спускались до кончиков пальцев;чухвадин хилер тупарин квенкералди авахьзавай
мука сыплется из мешка;шешелдай гъуьр авахьзава
втекать;къенез авахьун
вытекать;къеняй къецихъ авахьун
подтекать;каник авахьун
перетекать;санай масаниз авахьун
протекать;къеняй авахьун
растекаться;гьарнихъ авахьун
катиться;авахьун
спускаться;авахьун
сыпаться;авахьун
течь;авахьун
струиться;авахьун
вытекать;авахьун
литься;авахьун
вскрываться;авахьун
прорываться;авахьун
лопаться (о нарыве);авахьун
так себе;авач
так себе;гьеле квачел алама
пока стою на ногах;авач
пока стою на ногах;гьеле квачел алама
так себе;авач
семьи у него не было;хизан адахъ авачир
безосновательное утверждение;авачир гаф
поклёп;авачир гаф
наговор;авачир гаф
клевета;авачир гаф
не было;авачир
отсутствующий;авачир
несуществующий;авачир
безосновательный;авачир
необоснованный;авачир
асулсуз;авачир
бинесуз;авачир
ерисуз;авачир
неимение лучше, чем потеря (<соотв> лучше не иметь, чем потерять);квахьунилай авачирвал хъсан я
отсутствие, неимение (чего-л.);авачирвал
за неимением работы на местах молодёжь уезжает в города;чкайрал кIвалах авачирвиляй жегьилар шегьерриз физва
за неимением (чего-л.), из-за отсутствия, (кого-чего-л.);авачирвиляй
в августе;августдиз
в августе состоится учительская конференция;августдиз муаллимрин конференция жеда
до августа;августдалди
с августа;августдилай
августовский;августдин
августовские события;августдин вакъиаяр
август;август
авианосный;авианосецдин
авианосный самолёт вертикального взлёта;авианосецдин чкадилай къарагъдай самолёт
авианосец;авианосец
авиационный;авиациядин
авиационный полк;авициядин полк
авиация;авиация
святой человек;авлия
верхний, находящийся выше (кого-чего-л.);авни
по причине отсутствия связи;авсият тахьун себеб яз
общение;авсият
связь;авсият
привязанность, тяготение (к кому-л.);авсият
автобиографичный;автобиографиядин
автобиографический;автобиографиядин
автобиографичный роман;автобиографиядин роман
автобиография;автобиография
автобусный;автобусдин
автобусное сообщение;автобусдин алакъа
автобус;автобус
автовокзал;автовокзал
давать автограф;автограф гун
автограф;автограф
автолавка (автомобиль, оборудованный как магазин);автолавка
автоматный;автоматдин
автоматический;автоматдин
автоматный выстрел;автоматдин ван
автоматизироваться;автоматламиш хьун
автоматизировать;автоматламишун
автоматчик;автоматчик
служить;автоматчиквал авун
работать автоматчиком;автоматчиквал авун
специальность автоматчика;автоматчиквал
легковой автомобиль;гъвечи автомобиль
автомобильный завод;автомобилар акъуддай завод
автомобильный;автомобилдин
автомобильные шины;автомобилдин чархар
автомобильный парк;автомобилрин парк
автомобиль;автомобиль
автономный;автономиядин
автономная республика;автономиядин республика
автономия;автономия
автономный;автономный
художник нарисовал автопортрет;художникди автопортрет чугунва
автопортрет;автопортрет
автор книги;ктабдин автор
авторский;автордин
авторский экземпляр;автордин экземпляр
автор;автор
подтвердили авторство произведения;эсердин авторвал тестикьарна
авторство;авторвал
писать автореферат;автореферат кхьин
автореферат;автореферат
авторитетный;авторитет авай
завоевать авторитет;авторитет къазанмишун
терять авторитет;авторитетдай аватун
авторитет;авторитет
таъсиб;авторитет
авторитетный;авторитетлу
таъсиблу;авторитетлу
авторитетность, компетентность (кого-л. в каких-л. вопросах);авторитетлувал
таъсиблувал;авторитетлувал
авторитетно;авторитетлувилелди
таъсиблувилелди;авторитетлувилелди
авторучка;авторучка
автостанция;автостанция
тот;авта
то;авта
та;авта
пугать;рик авудун
приводить в ужас;рик авудун
помог спуститься с лестницы;гурарай авудна
корабль спустили на воду;гими циз авудна
выгрузили из вагона ящики;вагондай ишикар авудна
спускать;авудун
опускать;авудун
ссаживать;авудун
выгружать;авудун
он делает своё дело;ада вичин кар ийизва
возле школы мы построим спортзал;школадин къвалав чна спортзал ийида
оставлять без кола;кваливай-къавай авун
без двора;кваливай-къавай авун
лишать жизни;чандивай авун
мучить;чандивай авун
доводить до отчаяния;чандивай авун
танцевать;кьуьл авун
работать;квалах авун
стонать;цур авун
делать;авун
лишать (кого-чего-л.);авун
отбирать;авун
отнимать;авун
я ему ничего плохого не сделал;за адаз авур писвал авач
он круто обошёлся со мной;ада заз авурди авуна
бог;чун халкь авур халикьди
породивший нас;чун халкь авур халикьди
сделанный;авур
содеянный;авур
сотворённый;авур
всё;авур-тавур
что сделано;авур-тавур
круглые сочные груши (сорт);авчавуч
круглые сочные груши (сорт);авчавучар
охотничий;авчидин
охотник;авчи
занятие охотника;авчивал
стягивать;агаж авун
собирать в складки;агаж авун
сборки;агаж авун
стягиваться;агаж хьун
ёжиться;агаж хьун
корчиться;агаж хьун
морщиться;агаж хьун
жмуриться;агаж хьун
щуриться;агаж хьун
съёжиться от холода;мекьивили агажун
морщить лоб;пел агажун
стягивать;агажун
собирать в складки;агажун
сборки;агажун
съёживать;агажун
корчить;агажун
морщить;агажун
жмурить;агажун
щурить (глаза);агажун
имя героя лезгинских сказок;агай-магай
зрелый урожай ветру не отдавай;агакьай бегьер гарув вугумир
взрослые дети;агакьай аялар
совершеннолетняя дочь;агакьай руш
зрелый;агакьай
достигший полного развития;агакьай
взрослый;агакьай
совершеннолетний;агакьай
подвергать наказанию;жазадив агакьарун
мальчик;гадади кьацаллай куьлегдихъ
мальчик;квачин тупарал акъвазна
мальчик;гъил агакьарна
приподнявшись на носки;гадади кьацаллай куьлегдихъ
приподнявшись на носки;квачин тупарал акъвазна
приподнявшись на носки;гъил агакьарна
дотянулся до ключа на полке;гадади кьацаллай куьлегдихъ
дотянулся до ключа на полке;квачин тупарал акъвазна
дотянулся до ключа на полке;гъил агакьарна
он широкими шагами догнал находящихся впереди;ада еке камаралди вилик квайбурухъ агакьарна
известить;хабар агакьарун
доставлять телеграмму;тел агакьарун
доставлять свадебные подарки;мехъерин паяр агакьарун
успевать приготовить еду;хуьрек агакьарун
расплатился за покупки;къачур затарин гьахъ агакьарна
возвращать долг;бурж агакьарун
вырастил сирот;етим аялар хвена агакьарна
доставать;агакьарун
достигать;агакьарун
дотягиваться (до кого-чего-л.);агакьарун
догонять;агакьарун
настигать;агакьарун
доводить до сведения;агакьарун
извещать;агакьарун
доставлять;агакьарун
успевать делать;агакьарун
расплачиваться;агакьарун
вырастить;агакьарун
чуть раньше пяти часов и брат пришёл;сятдин вадав агакьиз-тагакьиз стхани атана акъатна
чуть меньше;агакьиз-тагакьиз
чуть раньше;агакьиз-тагакьиз
зал вмещает до восьмидесяти человек;залда кьудкъадав агакьна инсанар гьакьзава
взрослый;агакьнавай
достигший зрелого возраста;агакьнавай
не дойдя до реки;вацув агакь тавунамаз
не дойдя до реки;шалвар хутунмир
штаны не снимай;вацув агакь тавунамаз
штаны не снимай;шалвар хутунмир
додуматься;кьукьмадихъ агакьун
догадаться;кьукьмадихъ агакьун
сообразить;кьукьмадихъ агакьун
восторгаться;цавув агакьун
ликовать;цавув агакьун
доставать рукой;гъил агакьун
иметь материальную возможность (для чего-л.);гъил агакьун
достигать цели;мураддихъ агакьун
он догнал товарищей;ам юлдашрихъ агакьна
в ту пору как раз поспела клубника;ам некьияр агакьнавай вяде тир
девушка достигла зрелости;руш агакьнава
кушанье поспело;хуьрек агакьна
готово;хуьрек агакьна
поспевать всюду;виринриз агакьун
подоспел на помощь;куьмекдиз агакьна
доставать, достигать (до чего-л.);агакьун
догонять (вообще);агакьун
доходить, доезжать (до кого-чего-л.);агакьун
