spelling;spellingWithRandomChars;spellingWithRandomCharsIgnoreSpaces;inflectionsWithRandomChars;definitionsContainingExpressions;definitionsStartingWithParenthesis;definitionsStartingWithRandomChars;examplesContainingExpressions;definitionsStartingWithTags;stringsEndingWithCurlyBraces
ГАДЮКА;false;false;;;;;;<пер.разг.> гъуьлягъ, мурдар (дишегьли);
ГАЗ;false;false;;;;;;<физ.хим.> газ;
ГАЗЕЛЬ;false;false;;;;;;<ж.зоол.> газель (жейранрин жуьрейрикай са гьайван);
ГАРМОНИЗАЦИЯ;false;false;;;;;;<мн.нет.муз.> гармонизация, сад садав кьадайвал туькIуьрун;
ГАРМОНИЗИРОВАТЬ;false;false;;;;;;<несов.муз.> сад садав кьадайвал туькIурун (музыкада сесер);
ГАСИТЕЛЬ;false;false;;;(са кардин) экв хъуьткъуьрдай (туьхуьрдай) кас, вилик финиз рехъ тагур, баймишардай кас;;;;
ГЕОЛОГИЯ;false;false;;ГЕОЛОГИЯ <ж.нет> геология (ччилин чкал-къабух, ам туькIуьр хьанвай тегьер ва ана жезвай дегишвилер чирдай илим);;;;;
ГЕРБ;false;false;;мес. СССР-дин гербдал кIутадинни мукалдин шикил ала);;;;;
ГЕРОИНЯ;false;false;;;;;;<лит.> героиня, герой дишегьли (литературада);
ГИЕНА;false;false;;;;;;<зоол.> кафтар, кускафтар (гьайван);
ГИПЕРБОЛА;false;false;;;;;;<лит.> са вакъиа, са затI, са сифет кьадардилай артух лап екез къалурун.;
ГЛАЗОК;false;false;;;(картуфдин цIир ийидай) вил, тIур.;;;;
ГЛУХАРЬ;false;false;;;;;;<м.зоол.> глухарь (тамун верчерин жинсиникай са къуш);
ГЛЯНУТЬ;false;false;;;;;;<однокр.разг.> килигун;
ГНОЙНИК;false;false;;;(обществодиз зарарлу са гьалдин, кардин) муг, ирин кIватI хьанай чка;;;;
ГОВЕТЬ;false;false;;;;;;<несов.рел.> сив хуьн (якIун хуьрек нен тийиз пегьриз хуьн) ва клисадиз фин;
ГОВОР;false;false;;;;;;<мн.нет.пер.> ван, рахунриз ухшар сес;
ГОГОЛЬ;false;false;;;;;;<м.зоол.> чуьлдин уьрдегрин жинсиникай са къуш.;
ГОДОВЩИНА;false;false;;;(са вакъиадилай кьулухъ) йис тамам хьун;;;;
ГОМЕОПАТИЧЕСКИЙ;false;false;;;;;;<пер.разг.> лап тIимил, лап гъвечIи, нуькIрен вил кьван;
ГОМЕОПАТИЯ;false;false;;;;;;<мн.нет.мед.> гомеопатия;
ГОНКИ;false;false;;;;;;<мн.спорт.> чамарар, гьуьжетдалди гьалун;
ГОРКОМ;false;false;;;({городской комитет}) горком (шегьердин комитет);;;;
ГОРН;false;false;;;(домна пичинин агьада авай пай)|(цурцун зуьрне, карч хьтин музыкадин алат);;;;
ГОРОДИТЬ;false;false;;;;;;<обл.> жугъун элкъуьрун, пару элкъуьрун, гьасарда ттун;
ГОРСОВЕТ;false;false;;;({городской совет}) горсовет, шегьердин совет;;;;
ГОРТАНЬ;false;false;;;;;;<ж.анат.> кIалхан, туьтуьх;
ГОСПОДЬ;false;false;;;;;;<м.мн.нет> аллагь, агъа;
ГОССТРАХ;false;false;;;({государственное стра}{хование}) госстрах, государстводин страхование;;;;
ГРИМ;false;false;;;;;;<театр.> грим (сегьнедиз къугъваз экъечIдайла ччиниз ядай рангар);
ГРОЗДЬ;false;false;;;(ципIицIрин);;;;
ЕДВА;false;false;;;;;;<союз.> -мазди, -валди;
ЕДИНОМЫШЛЕННИК;false;false;;;(садахъ ва я садбрухъ галаз) фикир сад тир, сад хьтин фикирдал алай, фикирдив шерик тир;;;;
ЕЖЕЛИ;false;false;;;;;;<союз.уст.> см. {если};
ЕЙ-ЕЙ;false;false;;;;;;<межд.разг.> валлагь;
ЕЙ-ЖЕ-ЕЙ;false;false;;;;;;<межд.разг.> валлагь;
ЕСЛИ БЫ;true;false;;;;;;;
ЕСТЬ;false;false;;;;;;<межд.воен.> башуьсте, гьазур я;
ЕХИДНА;false;false;;;;;;<пер.разг.> туькьуьл мез авай кас, пис фендигар кас;
ЗАБАЛЛОТИРОВАТЬ;false;false;;;(сечкийра) сесер тагун, хкя тавун, аксиниз сес гун;;;;
ЗАБРОНИРОВАТЬСЯ;false;false;;;;;;<пер.разг.> жув хатадикай хуьн, саламатдиз хуьн, даддаламишун;
ЗАВЕРТЕТЬ;false;false;;;;;;<пер.разг.> кьил алчудрун, гваз экъуьн;
ЗАВЕРТЕТЬСЯ;false;false;;;;;;<пер.разг.> кьил чухвадай мажал тахьун (крарин, къайгъуйрин гуьгъуьна) ката-галтугдик акатун, челек-фелекда хьун;
ЗАВКОМ;false;false;;;({заводской комитет}) завком (заводда профсоюздин комитет);;;;
ЗАВХОЗ;false;false;;;({заведующий хозяйством}) завхоз (са идарадин майишатдин -хозяйстводин крар идара ийизвай кас);;;;
ЗАВЯЗЬ;false;false;;;;;;<ж.бот.> тумунин кисе (набататдин емиш кьадай чка);
ЗАГЛЯНУТЬ;false;false;;;;;;<пер.разг.> са кьил эцягъун, кьил къалурун, са гъвечIи геренди фин;
ЗАГОРОДИТЬ;false;false;;;(цал, жугъун) чIугун, элкъуьрун, элкъуьрна кIевун|(затIар эцигна рехъ, гьахьдай чка) кIевун, атIун;;;;
ЗАГРАДИТЕЛЬ;false;false;;;;;;<м.воен.> гьуьле минаяр кутадай гими;
ЗАГС;false;false;;;(кьейи-хьайи ва эвленмиш хьай ксар кхьидай отдел, чка);;;;
ЗАДАТКИ;false;false;;;({склонность}) бажарагъвилин лишанар, зигьиндин лишанар;;;;
ЗАДЁРГАТЬ;false;false;;;;;;<пер.разг.> ччан акъудун, ччандивай авун;
ЗАЕЗЖИЙ;false;false;;;(масанай) атай, атанвай.;;;;
ЗАКАТИТЬ;false;false;;;;;;<пер.разг.> вигьин, чуькьуьн, ягъун;
ЗАМЕНИТЬ;false;false;;;(са затIунин) чкадал (масад) эцигун, къачун: {заменить одного учителя другим} са учителдин чкадал масад тайинрун;;;;
ЗАНОСИТЬСЯ;false;false;;;(гзаф алукIуникди) куьгьне хьун, эски хьун;;;;
ЗАПАЛИТЬ;false;false;;;(туп) ягъун, ягъиз башламишун;;;;
ЗАПАРИТЬ;false;false;;;(гьамамда) ргар цик кягъиз ккул хьтиндалди жендек гатана гьял авун;;;;
ЗАПАРИТЬСЯ;false;false;;;(гьамамда) ргар цик кягъиз ккул хьтиндалди жуван жендек гатаз гьял авун, агалхьдайвал авун;;;;
ЗАПЕРЕТЬСЯ;false;false;;;(сана) гьахьна рак агалун, рак агална ацукьун;;;;
ЗАПИСЬ;false;false;;;(кхьей) чар, документ (са гзаф официальный чарарин тIвар);;;;
ЗАПИТЬ;false;false;;;(са затIунин) винелай хъун, агалдрун (яд ва мсб);;;;
ЗАРЕГИСТРИРОВАТЬ;false;false;;;(журналдиз, дафтардиз) ягъун, кхьин, регистрация авун;;;;
ЗАРЕЗАТЬ;false;false;;;(атIудай затIуналди) яна кьин;;;;
ЗАРОДЫШ;false;false;;;;;;<биол.бот.> см. эмбрион (набататдии ва я гьайванрин тумуникай винел акьалтиз, экъечIиз башламишнавай организм, цIир, кьерех);
ЗАРОЖДЕНИЕ;false;false;;;;;;<мн.нет.см.> {зародиться} и {зародить};
ЗАРУБИТЬ;false;false;;;(гапурдалди, туруналди) яна кьин, кукIварун;;;;
ЗАРЫТЬ;false;false;;;(ччилик) кутун, кучукун.;;;;
ЗАРЯБИТЬ;false;false;;;(вилерикай) цIарапIар авун;;;;
ЗАСЛЫШАТЬ;false;false;;;(ван) атун, хьун|(ни) атун;;;;
ЗАСТАВИТЬ;false;false;;;(са шей) эцигна рехъ кIевун|(са кар ийиз) тун;;;;
ЗАСТАВКА;false;false;;;(ктабдин ччинин) кьиле авай нехиш;;;;
ЗАСТЕНОК;false;false;;;(виликди дустагъханада) азабар гудай чка;;;;
ЗАСТИЧЬ;false;false;;;(бейхабардиз) агакьун;;;;
ЗАСТРОИТЬСЯ;false;false;;;(дараматар, кIвалер) эцигун, хьун (виликди буш тир чкадал);;;;
ЗАТАИТЬ;false;false;;;(рикIе) чуьнуьхун, чинеба рикIе хуьн;;;;
ЗАТУМАНИТЬСЯ;false;false;;;(накъвар) акьалтна кIев хьун (вилер);;;;
ЗАЩЕМИТЬ;false;false;;;(рикI) чуькьвей хьиз хьун, рикIин кIвенкI кIасай хьиз хьун;;;;
ЗДРАВИЦА;false;false;;;(садан) сагълугъдай стаканар хкажун, тост;;;;
ЗЕРНОСОВХОЗ;false;false;;;({зерновой совхоз}) техилрин совхоз;;;;
ЗЛАТО;false;false;;;;;;<мн.нет.уст.> см. {золото};
ЗМЕИТЬСЯ;false;false;;;(гъуьлягъ хьиз) къекъвез-къекъвез фин (мес. вацI, хвал);;;;
ЗНАМЕНАТЕЛЬ;false;false;;;;;;<м.мат.> знаменатель (дробда тек шумуд наюниз пай хьанватIа къалурзавай цифра);
ЗОДЧЕСТВО;false;false;;;;;;<мн.нет.уст.> архитекторвал, архитектура;
ЗООПАРК;false;false;;;({зоологический парк}) зоопарк, гьайванар хуьдай парк (абрун яшайиш, уьмуьр ахтармишун ва халкьдиз къалурун патал гьайванар хуьдай багъ);;;;
ЗЯБЛИК;false;false;;;(макьамар ядай са нуькI);;;;
КАКАДУ;false;false;;;;;;<м.нескл.> <зоол.> какаду (кьилел кукIуш алай са жуьредин туьтуькъуш);
КАКАО;false;false;;;;;;<ср.нескл.> какао (какав);
КАНАПЕ;false;false;;;;;;<ср.нескл.> канапе (са кьил хкажнавай, къаткидай диван, тахт хьтинди);
КАНОНЕРКА;false;false;;;({канонерская лодка}) канонерка, канонер лодка (дяведин гъвечIи гими);;;;
КАНТОН;false;false;;СССР-дик квай бязи республикайра виликди са чIавуз райондин тIвар;;;;;
КАНУН;false;false;;;(суварин ва мсб) вилик квай югъ;;;;
КАПАТЬ;false;false;;;(стIалар) авахьун, аватун, кIвахьун, стIал-стIал атун;;;;
КАПИТАЛОВЛОЖЕНИЕ;false;false;;;(са кардиз) ахъайнавай, эцигнавай (эцигдай, эцигзавай) капитал;;;;
КАТАТЬ;false;false;;;(фу акьалдай хьиз кIарцIелди) парталар цIалцIамрун, биришар дуьзрун;;;;
КЕНГУРУ;false;false;;;;;;<м.нескл.> кенгуру (Австралияда жедай, руфуник шарагар хтуна гваз фин патал чанта хьтинди квай са гьайван);
КИЛЬ;false;false;;;;;;<м.мор.> киль (гимидин кIан патан яргъивилихъди авай гъвар, шалман);
КИСТЬ;false;false;;;(ципицIрин);;;;
КЛАССНЫЙ;false;false;;;(см.{ класс});;;;
КЛАССОВЫЙ;false;false;;;(см.{ класс});;;;
КЛИКУША;false;false;;;(чIур жедай дишегьлиди хьиз нубатсуз гьарайдай) бушбугъаз политикачи;;;;
КЛИНОПИСЬ;false;false;;;;;;<лингв.> клинопись;
КЛИЧКА;false;false;;;(кIвалин гьайванриз гудай) тIвар;;;;
КЛУША;false;false;;;;;;<обл.> кьуртIи верч, какайрал ацукьнавай верч;
КОЛИ;false;false;;;;;;<союз.уст.> эгер.;
КОЛЛЕКТИВИЗИРОВАТЬ;false;false;;;;;;<сов.> <несов.> коллективламишун (коллектив туькIуьрун, коллективда сад авун);
КОЛЫМАГА;false;false;;;(къванер, къум чIугвадай) зурба фургъун;;;;
КОЛЬРАБИ;false;false;;;;;;<ж.нескл.> кольраби (турпунин акунар ва дад авай келемдин са жинс);
КОМСОД;false;false;;;({комиссия содействия)} куьмекдин комиссия;;;;
КОМСОМОЛ;false;false;;;({Коммунистический Союз Молодёжи}) комсомол (Жегьилрин Коммунистический Союз);;;;
КОМСОРГ;false;false;;;({комсомольский организатор}) комсорг, комсомолдин тешкилатчи;;;;
КОМСОСТАВ;false;false;;;({командный состав}) комсостав, командиррин состав, командирар;;;;
КОНАРМИЯ;false;false;;;({конная армия}) балкIанрал алай кьушун, балкIанрал алай армия;;;;
КООРДИНИРОВАТЬ;false;false;;;;;;<несов.> сад садав кьадайвал авун, кьурун;
КОРМИЛИЦА;false;false;;;(ччарадан) аялдиз нек гудай паб;;;;
КОРЧЁВКА;false;false;;;(кIанчIар) акъудун;;;;
КОСА;false;false;;;;;;<с.-х> дергес;
КОСНОЯЗЫЧИЕ;false;false;;;(рахунин ва кхьинрин къене) чIалан кубутвал;;;;
КОТОРЫЙ;false;false;;;(сложный предложениеда кьилди гафуналди перевод ийидач);;;;
КРЕМЛЬ;false;false;;Москвада СССР-дин гьукумат авай чка;;;;;
КРЕПОСТНОЕ ПРАВО;true;false;;;;;;;
КРИВДА;false;false;;;;;;<уст.> тапарар, ттаб, яланчивал;
КРИВЛЯКА;false;false;;;;;;<м.> <разг.> акъажай, кьуьруькар гвай, вичелай вил аладриз кьуьруькар ийидай кас;
КРЫНКА;false;false;;;(хъенчIин) гетIе;;;;
КРЯДУ;false;false;;;;;;<разг.> галаз-галаз;
КУДА;false;false;;;(придаточный предложениедик квай союз тирла гзаф вахтара кьилди гафуналди перевод ийидач);;;;
КУКОЛКА;false;false;;;(гьашаратдин, пепейрин, барамадин гъуьлягъдин) чилада амай, ахъа тахьанвай шараг;;;;
КУЛИ;false;false;;;;;;<ж.нескл.> кули (Китайда, Японияда, Индияда гьамбалар, ппар чIугвадай арабачи, фяле);
КУЛЬТМАССОВЫЙ;false;false;;;({культурно-массовый});;;;
КУПЕ;false;false;;;;;;<нескл.ж.-д.> купе (вагонда са шумуд касдиз кьилдин кIвал хьтин чка);
КУПЧАЯ;false;false;;;(мулк, кIвалер) маса къачунин чар;;;;
КУРЕВО;false;false;;;;;;<разг.> чIугвадай затI (тенбек ва мсб);
КУРСИВ;false;false;;;;;;<типог.> курсив (кхьинрин къене са чкадал дикъет чIугун патал ам маса тегьердин гьарфарал басма авун;
В, ВО;true;true;;;;;;;
ВАГА;false;false;;;;;;<лингв> (залан затIар хкаждай вагьрам, яцIу пая);
ВАЖНИЧАТЬ;false;false;;;;;;<разг.> абурвал авун, дамах къачун, яцIу хьун (кьама ялар тун);
ВАЛЁК;false;false;;;;;;<типог.> валёк (типографияда кIватIнавай гьарфарал, я чарчел ва масабрал ранг алтаддай элкъвей гъвечIи варданаг хьтинди);
ВАРВАРИ!ЗМ;false;false;;;;;;<лит.> варваризм (чIалаз маса чIалай къачунвай гаф ва я маса чIалан тегьерда туькIуьрнавай предложение);
ВАРВАРСКИЙ;false;false;;;;;;<.ист> варвардин;
ВБЕГАТЬ;false;false;;;;;;<несов.см.> {вбежать};
ВДАЛЬ;false;false;;;;;;<нареч.> яргъаз, яргъа чкадиз;
ВЕДАТЬ;false;false;;;;;;<уст.> чир хьун, чизваз хьун;
ВЕЛИЧАТЬ;false;false;;;;;;<уст.> тIвар лугьун, лугьун (са тIвар, лакIаб);
ВЕРСТАТКА;false;false;;;;;;<типог.> верстатка (типографияда гъилелди набор авун, гьарфар кIватIун патал прибор);
ВЕРСТАТЬ;false;false;;;;;;<несов.типог.> вёрстка авун (набор авунвай текст ктабдин ччинар хьиз пайна рамкада ттун);
ВЕРТУШКА;false;false;;;;;;<пер.разг.> ттум галтаддай, кьиле гар авайди (дишегьли);
ВЕСТЬ;false;false;;;;;;<уст.разг.> {бог весть} аллагьдиз чир хьуй, низ чида;
ВЗАИМНОСТЬ;false;false;;;(садан муьгьуьббатдиз муькуь терефдин патайни) къарши муьгьуьббат;;;;
ВЗМАХНУТЬ;false;false;;;(лувар) гатадун|(гъил) элягъун, юзурун;;;;
ВЗРЫХЛЯТЬ;false;false;;;;;;<несов.см.> { взрыхлить};
ВИЗАВИ;false;false;;;;;;<нареч.> сад садан вилик, сад садан къаншарда, ччин ччинал|<нескл.м> <ж> къаншарда ччин ччинал ацукьнавайди;
ВИНОГРАДАРСТВО;false;false;;;;;;<мн.нет.с.-х.> ципицIрин бахчачивал, уьзуьмчивал;
ВИНОДЕЛИЕ;false;false;;;;;;<мн.нет.с.-х.> чехирчивал, чехир авун;
