абурдай аватун;позориться, срамиться
абурдай вегьин;срамить, позорить
абурдал ви кицIи кьацIуррай!;чтоб опозорился ты!
абурдал ви кицIи кьацIуррай!;чтоб на твоё достоинство собака нагадила
абурар алай руш;красивая девушка, красавица
абурлу суй;приятная внешность
абурлу руш;красивая девушка
абурсуз хьун;становиться безобразным, неприглядным
ав ягъун;I <гл.> выть (о звере)
кицIи ав ягъзава;собака воет
ав ягъун;II <гл.> плакать в голос
аялди ав ягъзава;ребёнок громко плачет
ав ацалтна;в голос, навзрыд
ав ацалдна шехьун;плакать в голос
жанавурдин ав садлагьана акъваз хьана;вой волка внезапно затих
гада куьчеда ава;мальчик находится на улице
вахъ вуч ава?;что у тебя есть?
дуьньяда цIийи дяведин хаталувал ава;в мире существует опасность новой войны
адахъ шаирвилин бажарагъ ава;он обладает поэтическим даром
ацукьнава;или {ацукьна ава} сидит
балугъ це авагъарна;разморозил рыбу в воде
як авагъна;мясо разморозилось
ам къвез-къвез авагъзава;он постепенно приходит в себя
авадан хуьр гумадилай чир жеда;богатое село узнаётся по дыму из очагов
авадан авун;делать плодородной землю
авадан авун;благоустраивать, создавать необходимые условия, удобства
авадан хьун;становиться плодородным, урожайным
авадан хьун;благоустраиваться
авадан хьуй, азиз бала, вун хайи кIвал, вун физвай кIвал!;пусть будут, дорогое дитя, благополучными и твой родной дом, и дом, куда уходишь (пожелание матери своей дочери перед уходом в дом жениха)
авадан никIер;плодородные нивы
авадан багъ;урожайный, плодородный сад
авадан йисара;в урожайные годы
авадан ерияр;благоприятные для проживания места
ватандин аваданвал;благополучие родины
кIвалин аваданлух;домашняя обстановка
гимидин аваданлух;оборудование корабля, такелаж
садбур къазмайра яшамиш жезва, масабуру аваданлухар хкажзава;одни ютятся в хижинах, другие строят дворцы
къенез авадарун;вкатывать
кIаник авадарун;подкатывать
винел авадарун;накатывать
агъуз авадарун;скатывать
санай масаниз авадарун;перекатывать
кьулухъ (къерехдихъ) авадарун;откатывать
гъилер авадарун;опускать руки
пайдах авадарун;спускать флаг
перде жизви авадара;приспусти занавеску
ичин тарци пешер авадарна;яблоня осыпала листья
нагъв авадарун;пускать слезу
виряй яд авадарна;спустили воду из пруда
ратар аважун;вычищать кишки
аваз хьун;иметься, быть в наличии, находиться
халкьдин аваз;народная мелодия
жибинда пул аваз-аваз, бурж вуганач;имея в кармане деньги, не дал в долг
ада, кIвале аваз-аваз, заз рак ачухнач;он, находясь дома, не открыл мне дверь
авазлу сесер;мелодичные голоса
пачагьдиз пуд хва авай;у царя было три сына
авайни авай са;единственный
авай гьал;ситуация, положение
авай гьал;реальность
авай кар я;оно так и есть
авай кьван;всё, что имеется
акьул авай;умный
авай-авачир вири къакъудна;отобрали все, что есть
авай-авачир велед;единственный ребенок
авайвал лагьайтIа;честно говоря
авайвал лагьайтIа, заз вун чир хьанач;честно говоря, я тебя не узнал
гъиле авайди ахъайна, цава авайдахъ галтугмир;упустив то что в руке, не гоняйся за тем, что в небе (<соотв> лучше синица в руках, чем журавль в небе)
авайдал рази хьухь;довольствуйся тем, что есть
авайди чинал лугьун;говорить правду в лицо
авамдин акьул цун тавур ник хьиз я;ум невежды - невспаханное поле
авам авун;делать невежественным, необразованным
авам хьун;быть неграмотным, несведущим, невежественным, необразованным
авам халкь;простой народ, простонародье
авам халкь;голытьба, чернь
авамвал дава авачир азар я;невежество - болезнь, которая не лечится
авамвал авун;проявлять невежество, необразованность
авангарддин;авангардный
аванс гун;выдавать аванс, авансировать
аванс яз;авансом, вперёд, заранее
авансдин;авансовый
авансдин отчет;авансовый отчёт
лавар акур авар хьиз катун;убегать быстро
лавар акур авар хьиз катун;убегать как аварец, увидевший верблюда
аварар;аварцы
аваррин театр;аварский театр
авар руш;аварка
авар чIал;аварский язык
авар барут хьун;гневаться
авар барут хьун;злиться, негодовать
авар кавха;танцевальная мелодия
авар халкь;аварский народ
авара авун;превращать в бездельника, лодыря
авара хьун;становиться бездельником
авара хьун;праздношататься, бездельничать
аваравал авун;бездельничать, слоняться без дела
аваравал квай;ленивый, склонный к праздности
жуваз са аваран юлдаш жагъура;найди себе приличного товарища
аваран крарин иеси хьухь;будь свершителем благородных дел
дегьлиздиз аваран са гам кIанзава;для коридора нужен подходящий ковёр
авария авун;устраивать аварию
авария хьун;происходить - об аварии
авариядик акатун;попадать в аварию
зурба авария;катастрофа
авариядин;аварийный
авариядин къуллугъ;аварийная служба
ават хьун;падать
къуьлуьн къиметар ават хьанва;цены на пшеницу упали
ахварай аватун;просыпаться
виляй аватун;опозориться
ихтибардай аватун;терять доверие
ихтибардай аватун;вызывать недоверие
рикI аватун;испугаться, ужаснуться
руфун аватун;<гл> надорваться
руфун аватун;мед. сущ. грыжа
хивез аватун;выпадать на долю
руьгьдай аватун;падать духом
балкIандилай аватун;падать с лошади
къенез аватун;вваливаться
къеняй аватун;вываливаться, выпадать
агъуз аватун;ниспадать
фуруз аватун;проваливаться в яму
еб ялайла, къир аватзава;дёргаешь за верёвочку - занавес опускается
къиметдай аватун;падать в цене, обесцениваться, дешеветь
къиметдай аватун;<перен.> терять авторитет, уважение
агьуз аватун;падать вниз
агьуз аватун;<перен.> понижаться по службе
къуватдай аватун;терять силу, ослабевать
анал вакайни ихтилат аватнавай;там и о тебе заходила речь
аватIа вич ава лугьуз къекъуьн;держаться вызывающе, заносчиво, хорохориться
аватIа, зун къведач;в таком случае, я не приду
авахьай емиш;паданец
атIай ичер хъуьтIуьз нез туна, авахьаяр туьквендиз вахкана;собранные яблоки оставили на зиму, падалицу сдали в магазин
вун аквадай вилер авахьрай!;пусть вытекут глаза, видящие тебя!
аялар алераллаз дагъдай авахьзава;дети катятся на салазках с горы
чухвадин хилер тупIарин кIвенкIералди авахьзавай;рукава черкески спускались до кончиков пальцев
шешелдай гъуьр авахьзава;мука сыплется из мешка
къенез авахьун;втекать
къеняй къецихъ авахьун;вытекать
кIаник авахьун;подтекать
санай масаниз авахьун;перетекать
къеняй авахьун;протекать
гьарнихъ авахьун;растекаться
авач, гьеле кIвачел алама;так себе, пока стою на ногах
хизан адахъ авачир;семьи у него не было
авачир гаф;безосновательное утверждение
авачир гаф;поклёп, наговор, клевета
квахьунилай авачирвал хъсан я;неимение лучше, чем потеря (<соотв> лучше не иметь, чем потерять)
чкайрал к1валах авачирвиляй жегьилар шегьерриз физва;за неимением работы на местах молодёжь уезжает в города
августдиз;в августе
августдиз муаллимрин конференция жеда;в августе состоится учительская конференция
августдалди;до августа
августдилай;с августа
августдин;августовский
августдин вакъиаяр;августовские события
авианосецдин;авианосный
авианосецдин чкадилай къарагъдай самолёт;авианосный самолёт вертикального взлёта
авиациядин;авиационный
авициядин полк;авиационный полк
авсият тахьун себеб яз;по причине отсутствия связи
автобиографиядин;автобиографичный, автобиографический
автобиографиядин роман;автобиографичный роман
автобусдин;автобусный
автобусдин алакъа;автобусное сообщение
автограф гун;давать автограф
автоматдин;автоматный
автоматдин;автоматический
автоматдин ван;автоматный выстрел
автоматламиш хьун;автоматизироваться
автоматчиквал авун;служить, работать автоматчиком
гъвечIи автомобиль;легковой автомобиль
автомобилар акъуддай завод;автомобильный завод
автомобилдин;автомобильный
автомобилдин чархар;автомобильные шины
автомобилрин парк;автомобильный парк
автономиядин;автономный
автономиядин республика;автономная республика
художникди автопортрет чIугунва;художник нарисовал автопортрет
ктабдин автор;автор книги
автордин;авторский
автордин экземпляр;авторский экземпляр
эсердин авторвал тестикьарна;подтвердили авторство произведения
автореферат кхьин;писать автореферат
авторитет авай;авторитетный
авторитет къазанмишун;завоевать авторитет
авторитетдай аватун;терять авторитет
рикI авудун;пугать, приводить в ужас
гурарай авудна;помог спуститься с лестницы
гими циз авудна;корабль спустили на воду
вагондай ишикIар авудна;выгрузили из вагона ящики
ада вичин кар ийизва;он делает своё дело
школадин къвалав чна спортзал ийида;возле школы мы построим спортзал
кIваливай-къавай авун;оставлять без кола, без двора
чандивай авун;лишать жизни
чандивай авун;мучить, доводить до отчаяния
кьуьл авун;танцевать
кIвалах авун;работать
цIур авун;стонать
за адаз авур писвал авач;я ему ничего плохого не сделал
ада заз авурди авуна;он круто обошёлся со мной
чун халкь авур халикьди;бог, породивший нас
авчидин;охотничий
агаж авун;стягивать, собирать в складки, сборки
агаж хьун;стягиваться
агаж хьун;ёжиться
агаж хьун;корчиться
агаж хьун;морщиться
агаж хьун;жмуриться, щуриться
мекьивили агажун;съёжиться от холода
пел агажун;морщить лоб
агакьай бегьер гарув вугумир;зрелый урожай ветру не отдавай
агакьай аялар;взрослые дети
агакьай руш;совершеннолетняя дочь
жазадив агакьарун;подвергать наказанию
гадади кьацIаллай куьлегдихъ, кIвачин тупIарал акъвазна, гъил агакьарна;мальчик, приподнявшись на носки, дотянулся до ключа на полке
ада еке камаралди вилик квайбурухъ агакьарна;он широкими шагами догнал находящихся впереди
хабар агакьарун;известить
тел агакьарун;доставлять телеграмму
мехъерин паяр агакьарун;доставлять свадебные подарки
хуьрек агакьарун;успевать приготовить еду
къачур затIарин гьахъ агакьарна;расплатился за покупки
бурж агакьарун;возвращать долг
етим аялар хвена агакьарна;вырастил сирот
сятдин вадав агакьиз-тагакьиз стхани атана акъатна;чуть раньше пяти часов и брат пришёл
залда кьудкъадав агакьна инсанар гьакьзава;зал вмещает до восьмидесяти человек
вацIув агакь тавунамаз, шалвар хутIунмир;не дойдя до реки, штаны не снимай
кьукьмадихъ агакьун;додуматься, догадаться, сообразить
цавув агакьун;восторгаться, ликовать
гъил агакьун;доставать рукой
гъил агакьун;<перен>. иметь материальную возможность для чего-л.
мураддихъ агакьун;достигать цели
ам юлдашрихъ агакьна;он догнал товарищей
ам некьияр агакьнавай вяде тир;в ту пору как раз поспела клубника
руш агакьнава;девушка достигла зрелости
хуьрек агакьна;кушанье поспело, готово
виринриз агакьун;поспевать всюду
куьмекдиз агакьна;подоспел на помощь
агал хьун;закрываться
агал хьун;загораживаться, заслоняться
агал хьун;складываться о чем-л., что способно раскрываться и закрываться
агалай вил ахъа вилел гьалт тавурай;пусть не встретится закрытый глаз с открытым
ктабар ада агалай кIвале хуьзвай;книги он хранил в запертой комнате
агалдай чукIул;складной карманный ножик
агалдай шкаф;запирающийся шкаф
агалдай метр;складной метр
кIвачер яргъандиз килигна агалдара;ноги по одеялу протягивай
вил агалдарун;ожидать
захъ вил агалдармир;не жди меня
уьфтер агаладарун;освистать
севрез вич тамай чукурун ваъ, кьулухъай уьфтер агалдарун залан я;медведю не за то больно что его из леса выгнали, а за то что освистали вслед
чIул агалдарна;распустил ремень (пояс), {кьенерар агалдарун} ослаблять вожжи
дана калихъ агалдарна;телёнка подпустили к корове
гуьгъуьниз къван агалдарна;вслед запустили камнем
салахъ яд агалдара;пусти воду в огород
регъуьхъ яд агалдарун;пускать воду на мельницу
лекьре лувар агалдарна;орёл расправил крылья
шей гъана агалдун;привезти много товаров, наводнить товарами (магазин, базу)
далу агалдун;прислоняться спиной
далу агалдун;<перен>. надеяться на чью-л. поддержку, полагаться на кого-что-л.
къуьнерихъ кIурт агалдун;накидывать шубу на плечи
агалкьунар аваз;успешно
институт агалкьунралди куьтягьна;успешно окончил институт
цлахъ агалтун;прислоняться к стене
куьчебасанрин дестедихъ агалтна зи гадани чIур хьанва;примкнув к уличной шпане, и мой сын испортился
перемрихъ гумадин ни агалтна;одежда пропиталась запахом дыма
ахвар агалтун;клонить ко сну
цвар агалтун;позывать мочиться, хотеть мочиться
суварин йикъариз вири туьквенар агалзава;в праздничные дни все магазины закрываются
ада, куьгьне шифердалди гараждиз рехъ агалнава;он старым шифером загородил дорогу в гараж
агалдай чукIул;складной нож
мукIратI агалун;закрывать ножницы
ктаб агалун;закрывать книгу
хумаяр ава лугьуз школаяр агалзава;школы закрываются из-за эпидемии гриппа
правлениедин членар са фикирдал татун себеб яз собрание агализ мажбур хьана;из-за отсутствия единодушия среди членов правления собрание пришлось завершить
рагъ авайла, за дакIаррин пердеяр агалзава;когда солнце, я задвигаю оконные шторы
кIваляй экъечIдайла, газ агала;перекрывайте газ, когда уходите из дома
за жуван гада кIвале туна агалдай вахтарни хьайиди я;бывало, мне приходилось запирать своего сына в комнате
январдилай хуьрерин клубар агалзава;с января ликвидируются сельские клубы
чи идарадин вири счетар агалнава;на все счёта нашего учреждения наложен арест
емишар михьиз агалхьнава;плоды совсем размякли
чимивилик ам агалхьнавай;от жары его развезло
агалчна кьун;схватить (быстро притянув руку)
ам чав агатзавач;он избегает нас, держится на расстоянии
ам чав агатзавач;прислоняться к кому-чему-л.
тарцихъ агатун;прислониться к дереву
кIвалахдив агахьдалди алад;сходи, пока не приступил к работе
агентар;агенты, агентура
агентвал авун;работать агентом
агитатордин;агитаторский
агитатордин кIвалах;агитаторская работа
агитаторвал авун;работать в качестве агитатора
агитаторвилин;агитаторский
агитаторвилин бажарагъ;агитаторский талант
агитация тухун;агитировать
агитациядин;агитационный
агитациядин чарар;агитационные материалы
агрономвал авун;работать агрономом
агрономвилин илим;агрономия (наука)
гада, агрономвал кIелна, хайи хуьруьз хтана;выучившись на агронома, юноша вернулся в родное село
агрономвилин;агрономический
агрономвилин факультет;агрономический факультет
агротехникадин кIвалахар;агротехнические работы
диван цлав агудна;придвинул стол к стене
кIуртунин ценер агудун;запахивать шубу
гад агудун;собирать урожай
агъдин;бязевый
агъдин перем;бязевая рубашка
агъ цифер;белые облака
агъ дев;белый див
агъ намус;чистая совесть
агъ фикирар;благие помыслы
нянин гаф лукI я, пакаман гаф - агъа;вечернее слово - раб, утреннее слово - господин (в значении: утреннее слово весомее вечернего)
агъадин;господский, барский
агъади халкьна;всевышний создал
агъадин;божеский
агъадин жаза;божеское наказание
агъа дуьнья;загробный мир, потусторонний мир
агъа дуьньядиз фин;умирать, скончаться
агъа магьле;нижний магал
агъавал авун;господствовать
агъавал авун;главенствовать
агъавал авун;<перен>. преобладать
бязи чкайра къени куьгьне адетри агъавал ийизма;в иных местах поныне господствуют старые адаты
агъада хьун;быть внизу, оказаться ниже
агъада авай;находящийся внизу
агъадавай никIе мух цанва;поле, расположенное ниже, засеяно ячменем
агъадай рахун;сквернословить
агъадай виниз;снизу вверх
агъадай кьун;держать снизу
агъадай таб;правдоподобная ложь
агъадалди эвичIна;спустился вниз
агъадиз килигун;смотреть вниз
агъадихъ фена;отправился вниз
агъадихъай рахадай ванер атана;снизу послышались голоса
зи муаллим агъайна инсан я;мой учитель уважительный человек
кIвалах куьтягьиз агъакIан мад са варз герек хъижеда;чтобы завершить работу, понадобится минимум еще месяц
агъарам атIун;унижать достоинство
агъдабан кас;зловредный человек
агъдабанвал авун;проявлять зловредность
агъзур лагьай;поряд. тысячный
Аллагьдиз агъзурбара шукур, вун зи чандилай алудай;тысячу раз слава Аллаху, что избавил меня от тебя
агъзуратдин;тысячелетний
агъзуратдин тарих;тысячелетняя история
алатай мехъерик агъзурра хъсан тир;на прошлой свадьбе было в тысячу раз лучше
за адаз агъзурра лагьайди тир;я ему многократно говорил
агъзурсан тарих;тысячелетняя история
агъзурсуз садра жезва;происходит один раз в тысячелетие
агъу авун;язвить, причинить неприятность
агъу хьун;терпеть неприятности
агъу хьун;быть в убытке
зи гъилелай тIуьр факай ваз агъу хьуй!;пусть хлеб, съеденный с моей руки, обернётся для тебя ядом
агъу алай;ядовитый
агъу алай;отравленный
агъу квай;ядовитый, отравленный
агъуз чирвилер;низкие знания
агъуз къиметар;низкие цены
агъуз аватун;опускаться ниже, падать ниже, понижаться
агъуз аватун;<перен>. получать понижение по службе
агъуз авун;понижать, опускать ниже
агъуз авун;<перен>. понижать кого-л. по службе
агъуз хьун;наклоняться, опускаться ниже
агъуз хьун;понижаться, спускаться, опускаться ниже, оказываться ниже кого-чего-л.
агъуз вегьин;перемещать в более низкое положение, опускать
агъуз вегьин;<перен>. унижать, уничижать, срамить
агъузбуру мугьмандин вилик хуьрек гъидалди чай эцигда;жители равнины перед едой угощают гостя чаем
жувалай агъузбурун тай жемир;с теми, кто по статусу ниже себя, не водись
эхиримжи йисара райондин экономикадин рекъемар агъузбур я;в последние годы экономические показатели района низкие
агъузвал авун;умалять свое достоинство, унижаться, пресмыкаться
душмандин вилик садрани агъузвал ийимир;никогда не унижайся перед врагом
и кардал вуна агъузвал мийир;в этом деле ты не уступи
агъуз-виниз тахьана;безоговорочно, без лишних слов
жувалай агъуздахъ галаз анжах агъуз физ жеда;с недостойным человеком можно идти только вниз
кьил агъузун;опускать голову
къимет агъузун;убавить цену
агъул чIал;агульский язык
агъул чIал лезги чIаларин группадик акатзава;агульский язык входит в лезгинскую группу языков
агъул дереда хъуьтIуьзни ракъар жеда;в агульской долине и зимой бывает солнечно
вичихъ агъунвай;уверенный
вичихъ агъунвай;самонадеянный
зун адахъ агъазмач;я ему больше не верю
ам вичин стхадихъ агъунва;он на своего брата надеется
агъур хесет;тяжёлый характер
агъур хесет;неуживчивость
агъур хьун;тяжелеть, становиться тяжёлым
агъур хьун;<перен>. становиться менее подвижным
ам агъургъанди икрагьзава;его мучает аллергия (крапивница)
агъургъандин;аллергический
агъургъандин квал;аллергический зуд
агь, ада зи рикI кана хьи;ах, он испепелил моё сердце!
агь чIугун;стонать
агь чIугун;вздыхать
дидедин агь ирид чилерикайни галукьда;материнское проклятие настигнет и из-под семи земель
агь авун;проклинать, налагать проклятие, предавать проклятию, осыпать проклятиями
агь галукьун;настигать - о проклятии
агьа, ваз лугьудай гаф авай тир гьа;ага, тебе нужно было кое-что сказать
чкадин агьали;местный житель
хуьруьн агьали;сельчанин
шегьердин агьали;горожанин
агьан, вун тирни накь чи салал вегьейди!;ага, это ты вчера залез в наш сад!
агьарар авун;проклинать, бранить
агьарар галукьун;настигать - о проклятиях
агьвал авайди;состоятельный человек
агьваллу хьун;быть (становиться) состоятельным, богатеть
агьвалу хизан;зажиточная семья
вири авай: агьиларни, жегьиларни;все были: и старцы, и молодые
агьил итим;пожилой мужчина
агьилвилин;старческий: <см.тж.> кьуьзуьвал, яшлувал
агь-къаргъиш авун;проклинать, клясть, налагать проклятие
агьтар-кьинер кьун;клясться, божиться
агь-угь кваз хьун;хворать, болеть
агьузар чIугун;стонать
агьузар чIугун;убиваться, сильно горевать
агьузардал ацалтна;со стоном
агьузар чка;гиблое место
ад алай;славный
ад алай крар;славные дела
ада авун;погашать, выплачивать долг
ада авун;выполнять долг, обязательство
Ватандин вилик вичин бурж ада авуна;выполнил свой долг перед Родиной
адалатсуз хьун;становиться несправедливым
адалатсузвал авун;проявлять несправедливость, поступать несправедливо
Адамалай Хаттамалди;от начала мира до светопреставления
адахли гада;любимый парень
адвокат кьун;нанимать адвоката
адвокатдин;адвокатский
адвокатдин ихтияр;адвокатское право
адвокатвал авун;работать адвокатом
адет акатун;входить в обычай, становиться обычаем, укорениться как норма
адет кутун;заводить обычай
адет патал;для приличия, без особой надобности
адет тирвал;обычно, как принято, как заведено
адет хьанвайвал;как заведено, как принято
адет хьун;превращаться в обычай
адет хьун;входить в привычку
адет яз;как правило, как принято
адет хьанвай;или {адет тир} обычный, привычный, ставший обычаем
адет кьун;принимать за обычай
адетдин инсан;простой человек
ислам дин кьабулайла, Дагъустандин халкьар арабрин графикадал асаслу тир кхьинар - аджам ишлемишиз эгечIна;с принятием ислама народы Дагестана стали использовать аджам - письменность на основе арабской графики
чи ватан адигуьзел макан я;наша родина - красивейший край
адлу авун;прославить
адлу авун;делать справедливым, объективным
адлу авун;популяризовать
адлу хьун;прославиться
адлу хьун;становиться справедливым, объективным
адлу хьун;становиться модным, популярным
Ахцегьай гзаф адлу рухваяр ва рушар акъатнава;из Ахтов вышло много славных сыновей и дочерей
адлу кар;справедливое дело
вазни кIанда, зазни кIанда адлу хьана яшайиш;и ты хочешь, и я хочу, чтобы жизнь стала справедливой
мугьманриз гъили храй гуьлуьтар гун чинра гила адлу хьанва;дарить гостям вязаные носки ныне у нас стало модным
адан адлувиликай кьисаяр ахъайзавай;о его славе ходили легенды
адлувал жагъуриз суддиз фенва;пошёл в суд за справедливостью
кIелунихъ виликан адлувал амач;чтение не так популярно, как раньше
райондин администрация;администрация района
школадин администрация;школьная администрация
администрациядин;административный
администрациядин дарамат;административное здание
администраторвал авун;работать администратором
администраторвилин;администраторский
администраторвилин алакьунар;администраторские способности
адмиралдин;адмиральский
адмиралдин чин;адмиральское звание
адмиралвал авун;служить в чине адмирала
адресдин;адресный
адресдин куьмек;адресная помощь
адресрин ктаб;адресная книга
вун гьи адресда яшамиш жезва?;по какому адресу проживаешь?
аду хьун;враждовать
адувал гваз;неприязненно
адувал гваз;враждебно
ажаиб <къайдада> жуьреда;удивительно, дивно
ажаиб крар;удивительные дела
